# Needle worker-log extract — bead bf-4k2ws, 2026-08-13
# source: /home/coding/.needle/logs/claude-code-glm-4.7-lab-domain-check-2026-08-13.jsonl
# worker: claude-code-glm-4.7-lab-domain-check   session: 8446529e   agent: claude-code-glm-4.7
# captured from live log by domchk-8e0fc94d, 2026-09-07 (log untouched, mtime 2026-08-13 19:59)

## A. Complete attempt loop (all bf-4k2ws dispatch lifecycle events, chronological)
columns: timestamp | event | exit | outcome | duration_ms | reason/gates
2026-08-13T02:27:48.644888029Z | bead.released            |     |          |         | release_success
2026-08-13T02:27:50.784686779Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T02:27:50.794894365Z | agent.dispatched         |     |          |         | 
2026-08-13T02:27:50.813120141Z | transform.started        |     |          |         | 
2026-08-13T02:30:37.349226545Z | transform.completed      |     |          | 166518  | 
2026-08-13T02:30:37.501168692Z | agent.completed          | -1  |          | 166443  | 
2026-08-13T02:30:37.502540340Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T02:30:45.183898102Z | bead.released            |     |          |         | release_success
2026-08-13T02:30:47.246036818Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T02:30:47.256125809Z | agent.dispatched         |     |          |         | 
2026-08-13T02:30:47.272329591Z | transform.started        |     |          |         | 
2026-08-13T02:33:41.254415284Z | transform.completed      |     |          | 173962  | 
2026-08-13T02:33:41.384776124Z | agent.completed          | -1  |          | 173891  | 
2026-08-13T02:33:41.385854373Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T02:33:49.599380285Z | bead.released            |     |          |         | release_success
2026-08-13T02:33:52.093171461Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T02:33:52.105843828Z | agent.dispatched         |     |          |         | 
2026-08-13T02:33:52.125002200Z | transform.started        |     |          |         | 
2026-08-13T02:38:06.822349918Z | transform.completed      |     |          | 254676  | 
2026-08-13T02:38:07.011188738Z | agent.completed          | -1  |          | 254590  | 
2026-08-13T02:38:07.018790066Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T02:38:15.593533368Z | bead.released            |     |          |         | release_success
2026-08-13T02:38:18.027976489Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T02:38:18.041113094Z | agent.dispatched         |     |          |         | 
2026-08-13T02:38:18.063391137Z | transform.started        |     |          |         | 
2026-08-13T02:42:35.439461420Z | transform.completed      |     |          | 257349  | 
2026-08-13T02:42:35.611641876Z | agent.completed          | -1  |          | 257269  | 
2026-08-13T02:42:35.613008640Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T02:42:44.542861991Z | bead.released            |     |          |         | release_success
2026-08-13T02:42:46.801089683Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T02:42:46.811822323Z | agent.dispatched         |     |          |         | 
2026-08-13T02:42:46.830160476Z | transform.started        |     |          |         | 
2026-08-13T02:50:12.623173652Z | transform.completed      |     |          | 445771  | 
2026-08-13T02:50:12.962711833Z | agent.completed          | -1  |          | 445653  | 
2026-08-13T02:50:12.965132366Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T02:50:23.243316985Z | bead.released            |     |          |         | release_success
2026-08-13T02:50:25.936338636Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T02:50:25.951978890Z | agent.dispatched         |     |          |         | 
2026-08-13T02:50:25.976437434Z | transform.started        |     |          |         | 
2026-08-13T02:57:04.483023419Z | transform.completed      |     |          | 398478  | 
2026-08-13T02:57:04.726885875Z | agent.completed          | -1  |          | 398404  | 
2026-08-13T02:57:04.734122636Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T02:57:12.876419019Z | bead.released            |     |          |         | release_success
2026-08-13T02:57:15.423104111Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T02:57:15.435138833Z | agent.dispatched         |     |          |         | 
2026-08-13T02:57:15.452937680Z | transform.started        |     |          |         | 
2026-08-13T03:00:18.799858519Z | transform.completed      |     |          | 183327  | 
2026-08-13T03:00:18.912882630Z | agent.completed          | -1  |          | 183256  | 
2026-08-13T03:00:18.920429611Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T03:00:26.700651900Z | bead.released            |     |          |         | release_success
2026-08-13T03:00:29.258160832Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T03:00:29.272540069Z | agent.dispatched         |     |          |         | 
2026-08-13T03:00:29.299925891Z | transform.started        |     |          |         | 
2026-08-13T03:06:26.451915731Z | transform.completed      |     |          | 357116  | 
2026-08-13T03:06:26.738917349Z | agent.completed          | -1  |          | 357060  | 
2026-08-13T03:06:26.746170190Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T03:06:35.543339034Z | bead.released            |     |          |         | release_success
2026-08-13T03:06:38.128589870Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T03:06:38.140742060Z | agent.dispatched         |     |          |         | 
2026-08-13T03:06:38.161936014Z | transform.started        |     |          |         | 
2026-08-13T03:08:48.332266214Z | transform.completed      |     |          | 130149  | 
2026-08-13T03:08:48.490407621Z | agent.completed          | -1  |          | 129933  | 
2026-08-13T03:08:48.491686068Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T03:08:59.931855376Z | bead.released            |     |          |         | release_success
2026-08-13T03:09:03.339877722Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T03:09:03.354814246Z | agent.dispatched         |     |          |         | 
2026-08-13T03:09:03.389480824Z | transform.started        |     |          |         | 
2026-08-13T03:19:03.464120320Z | transform.completed      |     |          | 600037  | 
2026-08-13T03:19:03.598626509Z | agent.completed          | 124 |          | 600041  | 
2026-08-13T03:19:03.606419258Z | outcome.classified       | 124 | timeout  |         | 
2026-08-13T03:19:13.270596170Z | bead.released            |     |          |         | release_success
2026-08-13T03:19:15.396966681Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T03:19:15.407264801Z | agent.dispatched         |     |          |         | 
2026-08-13T03:19:15.425009049Z | transform.started        |     |          |         | 
2026-08-13T03:29:15.469051928Z | transform.completed      |     |          | 600024  | 
2026-08-13T03:29:15.602372193Z | agent.completed          | 124 |          | 600020  | 
2026-08-13T03:29:15.604731419Z | outcome.classified       | 124 | timeout  |         | 
2026-08-13T03:29:27.405534783Z | bead.released            |     |          |         | release_success
2026-08-13T03:29:29.444086070Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T03:29:29.454902344Z | agent.dispatched         |     |          |         | 
2026-08-13T03:29:29.471878045Z | transform.started        |     |          |         | 
2026-08-13T03:33:41.336450740Z | transform.completed      |     |          | 251847  | 
2026-08-13T03:33:41.546692032Z | agent.completed          | -1  |          | 251770  | 
2026-08-13T03:33:41.548213327Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T03:33:51.257112814Z | bead.released            |     |          |         | release_success
2026-08-13T03:33:53.718472317Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T03:33:53.729341586Z | agent.dispatched         |     |          |         | 
2026-08-13T03:33:53.750811767Z | transform.started        |     |          |         | 
2026-08-13T03:38:16.334946644Z | transform.completed      |     |          | 262556  | 
2026-08-13T03:38:16.449095211Z | agent.completed          | -1  |          | 262512  | 
2026-08-13T03:38:16.457451443Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T03:38:23.980070350Z | bead.released            |     |          |         | release_success
2026-08-13T03:38:26.009856260Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T03:38:26.020164423Z | agent.dispatched         |     |          |         | 
2026-08-13T03:38:26.038083442Z | transform.started        |     |          |         | 
2026-08-13T03:45:03.302744008Z | transform.completed      |     |          | 397245  | 
2026-08-13T03:45:03.555368414Z | agent.completed          | -1  |          | 397149  | 
2026-08-13T03:45:03.557558607Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T03:45:12.193603284Z | bead.released            |     |          |         | release_success
2026-08-13T03:45:14.931250021Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T03:45:14.944089594Z | agent.dispatched         |     |          |         | 
2026-08-13T03:45:14.970737255Z | transform.started        |     |          |         | 
2026-08-13T03:48:21.657381628Z | transform.completed      |     |          | 186661  | 
2026-08-13T03:48:21.869704502Z | agent.completed          | -1  |          | 186563  | 
2026-08-13T03:48:21.871503266Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T03:48:31.859686192Z | bead.released            |     |          |         | release_success
2026-08-13T03:48:34.657339983Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T03:48:34.670948706Z | agent.dispatched         |     |          |         | 
2026-08-13T03:48:34.697196895Z | transform.started        |     |          |         | 
2026-08-13T03:52:03.615520401Z | transform.completed      |     |          | 208889  | 
2026-08-13T03:52:04.019195313Z | agent.completed          | -1  |          | 208770  | 
2026-08-13T03:52:04.021831798Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T03:52:13.421196239Z | bead.released            |     |          |         | release_success
2026-08-13T03:52:16.379108515Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T03:52:16.395679809Z | agent.dispatched         |     |          |         | 
2026-08-13T03:52:16.422468542Z | transform.started        |     |          |         | 
2026-08-13T03:58:19.196679972Z | transform.completed      |     |          | 362748  | 
2026-08-13T03:58:19.382527923Z | agent.completed          | -1  |          | 362693  | 
2026-08-13T03:58:19.390165116Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T03:58:27.307682168Z | bead.released            |     |          |         | release_success
2026-08-13T03:58:29.475507846Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T03:58:29.486427967Z | agent.dispatched         |     |          |         | 
2026-08-13T03:58:29.504948736Z | transform.started        |     |          |         | 
2026-08-13T04:02:24.966249785Z | transform.completed      |     |          | 235443  | 
2026-08-13T04:02:25.280103889Z | agent.completed          | -1  |          | 235365  | 
2026-08-13T04:02:25.282238553Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T04:02:36.248743938Z | bead.released            |     |          |         | release_success
2026-08-13T04:02:39.034872464Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T04:02:39.047651924Z | agent.dispatched         |     |          |         | 
2026-08-13T04:02:39.070795461Z | transform.started        |     |          |         | 
2026-08-13T04:08:00.211276700Z | transform.completed      |     |          | 321112  | 
2026-08-13T04:08:00.391305133Z | agent.completed          | -1  |          | 321056  | 
2026-08-13T04:08:00.393415549Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T04:08:09.621778602Z | bead.released            |     |          |         | release_success
2026-08-13T04:08:12.139169243Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T04:08:12.149891673Z | agent.dispatched         |     |          |         | 
2026-08-13T04:08:12.167557461Z | transform.started        |     |          |         | 
2026-08-13T04:12:25.152427068Z | transform.completed      |     |          | 252964  | 
2026-08-13T04:12:25.430586370Z | agent.completed          | -1  |          | 252874  | 
2026-08-13T04:12:25.432962024Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T04:12:33.803506316Z | bead.released            |     |          |         | release_success
2026-08-13T04:12:35.934698850Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T04:12:35.945796919Z | agent.dispatched         |     |          |         | 
2026-08-13T04:12:35.963787599Z | transform.started        |     |          |         | 
2026-08-13T04:16:06.228692778Z | transform.completed      |     |          | 210246  | 
2026-08-13T04:16:06.420934225Z | agent.completed          | -1  |          | 210162  | 
2026-08-13T04:16:06.422692261Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T04:16:14.808902101Z | bead.released            |     |          |         | release_success
2026-08-13T04:16:17.045589004Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T04:16:17.057587189Z | agent.dispatched         |     |          |         | 
2026-08-13T04:16:17.076474591Z | transform.started        |     |          |         | 
2026-08-13T04:20:06.649178446Z | transform.completed      |     |          | 229548  | 
2026-08-13T04:20:06.911250061Z | agent.completed          | -1  |          | 229477  | 
2026-08-13T04:20:06.913068830Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T04:20:15.258675966Z | bead.released            |     |          |         | release_success
2026-08-13T04:20:17.373800615Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T04:20:17.384154859Z | agent.dispatched         |     |          |         | 
2026-08-13T04:20:17.401508939Z | transform.started        |     |          |         | 
2026-08-13T04:23:12.611406078Z | transform.completed      |     |          | 175189  | 
2026-08-13T04:23:12.758922475Z | agent.completed          | -1  |          | 175070  | 
2026-08-13T04:23:12.760292880Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T04:23:20.736428075Z | bead.released            |     |          |         | release_success
2026-08-13T04:23:22.749860218Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T04:23:22.760537953Z | agent.dispatched         |     |          |         | 
2026-08-13T04:23:22.777233176Z | transform.started        |     |          |         | 
2026-08-13T04:28:31.732997851Z | transform.completed      |     |          | 308937  | 
2026-08-13T04:28:31.966604043Z | agent.completed          | -1  |          | 308865  | 
2026-08-13T04:28:31.969227748Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T04:28:39.623658750Z | bead.released            |     |          |         | release_success
2026-08-13T04:28:41.728627297Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T04:28:41.738423926Z | agent.dispatched         |     |          |         | 
2026-08-13T04:28:41.755530393Z | transform.started        |     |          |         | 
2026-08-13T04:35:31.997646522Z | transform.completed      |     |          | 410226  | 
2026-08-13T04:35:32.216805606Z | agent.completed          | -1  |          | 410140  | 
2026-08-13T04:35:32.224528615Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T04:35:39.380890411Z | bead.released            |     |          |         | release_success
2026-08-13T04:35:41.487608562Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T04:35:41.500624587Z | agent.dispatched         |     |          |         | 
2026-08-13T04:35:41.522755189Z | transform.started        |     |          |         | 
2026-08-13T04:41:39.127523496Z | transform.completed      |     |          | 357581  | 
2026-08-13T04:41:39.386687899Z | agent.completed          | -1  |          | 357491  | 
2026-08-13T04:41:39.388452978Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T04:41:47.774994784Z | bead.released            |     |          |         | release_success
2026-08-13T04:41:50.301568495Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T04:41:50.311639824Z | agent.dispatched         |     |          |         | 
2026-08-13T04:41:50.330963022Z | transform.started        |     |          |         | 
2026-08-13T04:48:09.314249854Z | transform.completed      |     |          | 378963  | 
2026-08-13T04:48:09.546532879Z | agent.completed          | 0   |          | 378983  | 
2026-08-13T04:48:09.553725862Z | outcome.classified       | 0   | success  |         | 
2026-08-13T04:48:09.563502808Z | verification.passed      |     |          |         | 1
2026-08-13T04:48:15.306452783Z | bead.orphaned            |     |          |         | 
2026-08-13T04:48:17.570241951Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T04:48:17.580148901Z | agent.dispatched         |     |          |         | 
2026-08-13T04:48:17.597596420Z | transform.started        |     |          |         | 
2026-08-13T04:53:13.591656195Z | transform.completed      |     |          | 295973  | 
2026-08-13T04:53:13.842257511Z | agent.completed          | -1  |          | 295877  | 
2026-08-13T04:53:13.849403288Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T04:53:23.611842877Z | bead.released            |     |          |         | release_success
2026-08-13T04:53:26.100967967Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T04:53:26.113477213Z | agent.dispatched         |     |          |         | 
2026-08-13T04:53:26.133382217Z | transform.started        |     |          |         | 
2026-08-13T04:57:21.379545351Z | transform.completed      |     |          | 235221  | 
2026-08-13T04:57:21.854224012Z | agent.completed          | -1  |          | 235034  | 
2026-08-13T04:57:21.858241250Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T04:57:34.280332906Z | bead.released            |     |          |         | release_success
2026-08-13T04:57:37.985647654Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T04:57:38.002229640Z | agent.dispatched         |     |          |         | 
2026-08-13T04:57:38.038169967Z | transform.started        |     |          |         | 
2026-08-13T05:01:29.072264677Z | transform.completed      |     |          | 230995  | 
2026-08-13T05:01:29.286890689Z | agent.completed          | -1  |          | 230968  | 
2026-08-13T05:01:29.293263366Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T05:01:37.134352471Z | bead.released            |     |          |         | release_success
2026-08-13T05:01:39.183602736Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T05:01:39.194166590Z | agent.dispatched         |     |          |         | 
2026-08-13T05:01:39.212915143Z | transform.started        |     |          |         | 
2026-08-13T05:06:11.900351172Z | transform.completed      |     |          | 272668  | 
2026-08-13T05:06:12.241492310Z | agent.completed          | -1  |          | 272514  | 
2026-08-13T05:06:12.243680875Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T05:06:24.838080143Z | bead.released            |     |          |         | release_success
2026-08-13T05:06:28.838865916Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T05:06:28.860673521Z | agent.dispatched         |     |          |         | 
2026-08-13T05:06:28.899539820Z | transform.started        |     |          |         | 
2026-08-13T05:09:43.254137580Z | transform.completed      |     |          | 194310  | 
2026-08-13T05:09:43.604467287Z | agent.completed          | -1  |          | 194244  | 
2026-08-13T05:09:43.606707227Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T05:09:53.289336780Z | bead.released            |     |          |         | release_success
2026-08-13T05:09:55.807621031Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T05:09:55.820575786Z | agent.dispatched         |     |          |         | 
2026-08-13T05:09:55.839364856Z | transform.started        |     |          |         | 
2026-08-13T05:12:05.434044875Z | transform.completed      |     |          | 129571  | 
2026-08-13T05:12:05.578592482Z | agent.completed          | -1  |          | 129518  | 
2026-08-13T05:12:05.584674109Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T05:12:13.214129958Z | bead.released            |     |          |         | release_success
2026-08-13T05:12:15.347827603Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T05:12:15.357789804Z | agent.dispatched         |     |          |         | 
2026-08-13T05:12:15.374889490Z | transform.started        |     |          |         | 
2026-08-13T05:16:53.570106925Z | transform.completed      |     |          | 278178  | 
2026-08-13T05:16:53.826504674Z | agent.completed          | -1  |          | 278114  | 
2026-08-13T05:16:53.832752640Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T05:17:01.699635431Z | bead.released            |     |          |         | release_success
2026-08-13T05:17:03.800790691Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T05:17:03.811397175Z | agent.dispatched         |     |          |         | 
2026-08-13T05:17:03.828497783Z | transform.started        |     |          |         | 
2026-08-13T05:20:08.215604657Z | transform.completed      |     |          | 184368  | 
2026-08-13T05:20:08.459623222Z | agent.completed          | -1  |          | 184294  | 
2026-08-13T05:20:08.461713047Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T05:20:17.896878266Z | bead.released            |     |          |         | release_success
2026-08-13T05:20:20.519108117Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T05:20:20.531270291Z | agent.dispatched         |     |          |         | 
2026-08-13T05:20:20.551762999Z | transform.started        |     |          |         | 
2026-08-13T05:23:15.828457145Z | transform.completed      |     |          | 175251  | 
2026-08-13T05:23:16.005129800Z | agent.completed          | -1  |          | 175136  | 
2026-08-13T05:23:16.007391719Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T05:23:25.811723023Z | bead.released            |     |          |         | release_success
2026-08-13T05:23:28.284750729Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T05:23:28.296396080Z | agent.dispatched         |     |          |         | 
2026-08-13T05:23:28.314698770Z | transform.started        |     |          |         | 
2026-08-13T05:26:39.474750612Z | transform.completed      |     |          | 191141  | 
2026-08-13T05:26:39.726379759Z | agent.completed          | -1  |          | 190866  | 
2026-08-13T05:26:39.728206818Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T05:26:53.101630451Z | bead.released            |     |          |         | release_success
2026-08-13T05:26:56.636793611Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T05:26:56.651335816Z | agent.dispatched         |     |          |         | 
2026-08-13T05:26:56.682537950Z | transform.started        |     |          |         | 
2026-08-13T05:29:40.285965237Z | transform.completed      |     |          | 163555  | 
2026-08-13T05:29:40.515625003Z | agent.completed          | -1  |          | 163472  | 
2026-08-13T05:29:40.517877710Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T05:29:50.524678257Z | bead.released            |     |          |         | release_success
2026-08-13T05:29:53.428608886Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T05:29:53.443514804Z | agent.dispatched         |     |          |         | 
2026-08-13T05:29:53.467586823Z | transform.started        |     |          |         | 
2026-08-13T05:35:07.353096134Z | transform.completed      |     |          | 313853  | 
2026-08-13T05:35:07.718772713Z | agent.completed          | -1  |          | 313515  | 
2026-08-13T05:35:07.721296675Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T05:35:20.912220104Z | bead.released            |     |          |         | release_success
2026-08-13T05:35:24.555168306Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T05:35:24.578490226Z | agent.dispatched         |     |          |         | 
2026-08-13T05:35:24.616169336Z | transform.started        |     |          |         | 
2026-08-13T05:40:46.971335347Z | transform.completed      |     |          | 322289  | 
2026-08-13T05:40:47.350892027Z | agent.completed          | -1  |          | 322192  | 
2026-08-13T05:40:47.353294414Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T05:40:58.105168337Z | bead.released            |     |          |         | release_success
2026-08-13T05:41:01.004167441Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T05:41:01.018171666Z | agent.dispatched         |     |          |         | 
2026-08-13T05:41:01.039554901Z | transform.started        |     |          |         | 
2026-08-13T05:45:08.477841052Z | transform.completed      |     |          | 247419  | 
2026-08-13T05:45:08.875475808Z | agent.completed          | -1  |          | 247164  | 
2026-08-13T05:45:08.879802420Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T05:45:22.031404970Z | bead.released            |     |          |         | release_success
2026-08-13T05:45:25.840264425Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T05:45:25.858310847Z | agent.dispatched         |     |          |         | 
2026-08-13T05:45:25.895901203Z | transform.started        |     |          |         | 
2026-08-13T05:51:41.480331301Z | transform.completed      |     |          | 375529  | 
2026-08-13T05:51:41.667565239Z | agent.completed          | -1  |          | 375500  | 
2026-08-13T05:51:41.669033490Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T05:51:49.420559558Z | bead.released            |     |          |         | release_success
2026-08-13T05:51:51.568266340Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T05:51:51.581165324Z | agent.dispatched         |     |          |         | 
2026-08-13T05:51:51.601126485Z | transform.started        |     |          |         | 
2026-08-13T05:57:31.123498811Z | transform.completed      |     |          | 339502  | 
2026-08-13T05:57:31.475677520Z | agent.completed          | -1  |          | 339436  | 
2026-08-13T05:57:31.482706507Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T05:57:38.861535718Z | bead.released            |     |          |         | release_success
2026-08-13T05:57:41.085957888Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T05:57:41.096346200Z | agent.dispatched         |     |          |         | 
2026-08-13T05:57:41.112208457Z | transform.started        |     |          |         | 
2026-08-13T06:02:08.586760902Z | transform.completed      |     |          | 267459  | 
2026-08-13T06:02:08.874229835Z | agent.completed          | -1  |          | 267368  | 
2026-08-13T06:02:08.875807211Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T06:02:17.186203223Z | bead.released            |     |          |         | release_success
2026-08-13T06:02:19.485981986Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T06:02:19.497168281Z | agent.dispatched         |     |          |         | 
2026-08-13T06:02:19.516187607Z | transform.started        |     |          |         | 
2026-08-13T06:06:26.083976717Z | transform.completed      |     |          | 246545  | 
2026-08-13T06:06:26.360466577Z | agent.completed          | -1  |          | 246454  | 
2026-08-13T06:06:26.362424002Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T06:06:34.696866588Z | bead.released            |     |          |         | release_success
2026-08-13T06:06:36.658782883Z | bead.claim.succeeded     |     |          |         | 
2026-08-13T06:06:36.667790535Z | agent.dispatched         |     |          |         | 
2026-08-13T06:06:36.684847847Z | transform.started        |     |          |         | 
2026-08-13T06:09:49.898881553Z | transform.completed      |     |          | 193198  | 
2026-08-13T06:09:50.193652735Z | agent.completed          | -1  |          | 193062  | 
2026-08-13T06:09:50.195269574Z | outcome.classified       | -1  | crash    |         | 
2026-08-13T06:09:59.369250944Z | bead.released            |     |          |         | release_success
2026-08-13T06:10:01.778670478Z | bead.claim.succeeded     |     |          |         | 
